comments,N,lang,en-en,comments
Place was wonderful and Phoenice was very nice and hospitable.,1,english,en-en,Place was wonderful and Phoenice was very nice and hospitable.
wonderful pop-art home,1,english,en-en,wonderful pop-art home
I was met and made to feel very welcome.,1,english,en-en,I was met and made to feel very welcome.
Neighborhood was great. Patty made us feel very welcome,1,english,en-en,Neighborhood was great. Patty made us feel very welcome
It was a nice stay... François’s was very helpful....,1,english,en-en,It was a nice stay... François’s was very helpful....
"Pap was outstanding and very helpful. We enjoyed our stay and would look to book with you in the future.

Thank you.",1,english,en-en,"Pap was outstanding and very helpful. We enjoyed our stay and would look to book with you in the future.

Thank you."
it's very good,1,english,en-en,it's very good
Gabrielle made us feel very welcome.  Awesome pad in an awesome hood.,1,english,en-en,Gabrielle made us feel very welcome.  Awesome pad in an awesome hood.
Very niceroom indeed. marion was very helpful. We had a great stay !,1,english,en-en,Very niceroom indeed. marion was very helpful. We had a great stay !
Simply I feel like I was in my home! :),1,english,en-en,Simply I feel like I was in my home! :)
I'm very satisfied.,1,english,en-en,I'm very satisfied.
It makes you feel at home.,1,english,en-en,It makes you feel at home.
Suzette was very nice and welcoming,1,english,en-en,Suzette was very nice and welcoming
Emanuele is very helpful :),1,english,en-en,Emanuele is very helpful :)
It is a little noisy when sleeping.,1,english,en-en,It is a little noisy when sleeping.
Serge was very helpful during my stay in Paris and always available if I was wondering something.,1,english,en-en,Serge was very helpful during my stay in Paris and always available if I was wondering something.
"i stayed 7 days. very good location. OPERA is within 10 minutes walking distance. Carole is very kind host. we lost our luggages. So we called Air france but not be communicated.
Carole was glad to help our out. And we find luggages after 3days.
if i visit in Paris, stay again at Carole's studio.
thank you Carole.
",1,english,en-en,"i stayed 7 days. very good location. OPERA is within 10 minutes walking distance. Carole is very kind host. we lost our luggages. So we called Air france but not be communicated.
Carole was glad to help our out. And we find luggages after 3days.
if i visit in Paris, stay again at Carole's studio.
thank you Carole.
"
"Homeowner very good, very happy first stop",1,english,en-en,"Homeowner very good, very happy first stop"
Small but very nice! Good view,1,english,en-en,Small but very nice! Good view
The stay was very good. Magda is a great host.,1,english,en-en,The stay was very good. Magda is a great host.
Everything was fine. Sam was nice. Flat is OK.,1,english,en-en,Everything was fine. Sam was nice. Flat is OK.
very warm welcome - we had a wonderful stay,1,english,en-en,very warm welcome - we had a wonderful stay
"Room was fine. Somewhat small, but big enough. ",1,english,en-en,"Room was fine. Somewhat small, but big enough. "
Alain was a very welcoming host.,1,english,en-en,Alain was a very welcoming host.
"very nice landlady,and wonderful room!",1,english,en-en,"very nice landlady,and wonderful room!"
Marie-Pierre was very kind.,1,english,en-en,Marie-Pierre was very kind.
Viviane was very kind. The apt is in a wonderful location.,1,english,en-en,Viviane was very kind. The apt is in a wonderful location.
Everything was very easy!,1,english,en-en,Everything was very easy!
very good｡very nice｡,1,english,en-en,very good｡very nice｡
"Awesome stay, wonderful host!",1,english,en-en,"Awesome stay, wonderful host!"
Awesome room. Super kind host.,1,english,en-en,Awesome room. Super kind host.
Awesome,12,english,en-en,Awesome
Sabine’s place was very cute.,1,english,en-en,Sabine’s place was very cute.
very nice hotel.We enjoy it,1,english,en-en,very nice hotel.We enjoy it
wonderful house!,1,english,en-en,wonderful house!
We had a wonderful time.,1,english,en-en,We had a wonderful time.
Great place. Virginie is very friendly too.,1,english,en-en,Great place. Virginie is very friendly too.
Jeff was an excellent host. Very nice place. Thank you jeff,1,english,en-en,Jeff was an excellent host. Very nice place. Thank you jeff
"It's very nice,a wonderful trip ",1,english,en-en,"It's very nice,a wonderful trip "
The host was very welcoming.,1,english,en-en,The host was very welcoming.
Everything was very good,1,english,en-en,Everything was very good
Karen is very helpful,1,english,en-en,Karen is very helpful
Lise's room was very clean and easy to spend. I could sleep very well every day.,1,english,en-en,Lise's room was very clean and easy to spend. I could sleep very well every day.
We had a wonderful stay here. Nicole was a great host.,1,english,en-en,We had a wonderful stay here. Nicole was a great host.
Nice place. Great neighbourhood. Marie is very helpful.,1,english,en-en,Nice place. Great neighbourhood. Marie is very helpful.
"A very lovely stay.
Thank you",1,english,en-en,"A very lovely stay.
Thank you"
Very helpful host,1,english,en-en,Very helpful host
Wonderful Place. Near all tourist spots like Sacre Cour etc. 5 stars,1,english,en-en,Wonderful Place. Near all tourist spots like Sacre Cour etc. 5 stars
